Search,Replacement
1684,
At Sea,
Europa,
Europe,
Belgie,Belgium
België,Belgium
Belgique,Belgium
BELGUIM,Belgium
Belguim.,Belgium
Netherlands (Present day Belgium),Belgium
Vlaandere,Belgium
Boehmen Koenigreich in Bohemia,Czechia
Dänemark,Denmark
Kst. Dänemark,Denmark
Fontainbleau,France
\bFr\b,France
Francia,France
Frankryk,France
Greuville en Caux,France
Mer of Menars-la-Ville Frankryk,France
Poitiers,France
Provence-Alpes-C,France
Alemania,Germany
Baden,Germany
Bundesrepublik Deutschland,Germany
Bündheim,Germany
Burgsteinfurt,Germany
Deuschland(HRR),Germany
Deutschland,Germany
Duitsland,Germany
German Empire,Germany
Heilige Roomse Rijk,Germany
Heiliges Römisches Reich,Germany
Heiliges R.,Germany
Holy Roman Empire,Germany
Preussen,Germany
Preußen,Germany
Prs,Germany
Prss>,Germany
Prussia,Germany
\bThr\b,Germany
Thr. germany,Germany
Wasenberg,Germany
Alderney,Guernsey
\bindia\b,India
Indian peninsula,India
Weskus van Indi,India
Batavia,Indonesia
batavia,Indonesia
Dutch East Indies,Indonesia
Lithuania,Lithuania
Burma,Myanmar
Açores,Portugal
\bSa\b,South Africa
África do Sul,South Africa
Afrique du Sud,South Africa
Caap de Goede Hoop Suid Afrika,South Africa
Cabo de Goede Hoop,South Africa
Caep de Goede Hoop,South Africa
Cape Colony,South Africa
Cape of Good Hope,South Africa
Cape Province South Africa,South Africa
de Caep de Goede Hoop,South Africa
Dutch Cape Colony,South Africa
Farm “Louwvliet” Rondebosch Cape Town,South Africa
Groen Fontein,South Africa
Kaap,South Africa
Kaapstad,South Africa
On board the ship,South Africa
Paarl,South Africa
Roggeveld,South Africa
So Af,South Africa
So. Africa,South Africa
Soth Africa,South Africa
South Africa,South Africa
Suid-Afrika,South Africa
Swartland district,South Africa
VOC,South Africa
ZA,South Africa
Zuid Afrika,South Africa
Zuid-Afrika,South Africa
Schweden,Sweden
Schweiz,Switzerland
Suisse,Switzerland
Switzerland,Switzerland
Swtz,Switzerland
Swtz.,Switzerland
Amsterdam Netherlands,The Netherlands
Holland,The Netherlands
Leeuwarden,The Netherlands
Nederland,The Netherlands
Neth,The Netherlands
Netherland,The Netherlands
Netherlands,The Netherlands
netherlands,The Netherlands
Niederlande,The Netherlands
Nl,The Netherlands
NL,The Netherlands
North Holland,The Netherlands
Of Nthr,The Netherlands
Oost-Hinkelenpolder,The Netherlands
Ouderkerk aan den IJssel (Verm.),The Netherlands
Países Bajos,The Netherlands
Pays-Bas,The Netherlands
Renswoude,The Netherlands
Spaanse Nederlanden,The Netherlands
Spanish Netherlands,The Netherlands
Zeeland Netherlands,The Netherlands
Zuid-Holland,The Netherlands
East Timor,Timor-Leste
CARDINHAM CORNWALL ENG.,United Kingdom
Cornwall,United Kingdom
Eng,United Kingdom
Eng.,United Kingdom
England,United Kingdom
Leicestershire,United Kingdom
London>,United Kingdom
Northern Ireland,United Kingdom
Reino Unido,United Kingdom
Scot.,United Kingdom
Scotland,United Kingdom
UK,United Kingdom
Wales,United Kingdom
Yorks. Eng.,United Kingdom
Yorkshire,United Kingdom
